Date	Outlet_Flow	Outlet_Flow_Maxhour	Temperature	DO	Outlet_Precipitate	pH	NH4	NH4	NO3	NO3	PO4	Fe
2016-01-01	10118	566	11.8	70		7.37	0.03		4.17			
2016-01-02	8606	414	10.9	69		7.43	0.04		3.6			
2016-01-03	8483	424	10	68		7.38	0.09		4.85			
2016-01-04	7766	440	10	66		7.37	0.09		5.7			
2016-01-05	7223	344	10.1	66		7.41	0.16		4.12			
2016-01-06	6839	329	10.4	68		7.39	0.26		3.14			
2016-01-07	6794	381	10.4	51		7.39	0.22		3.76			
2016-01-08	7092	357	10.3	65		7.38	0.24		4.3			
2016-01-09	6761	337	10.9	68		7.35	0.35		3.81			
2016-01-10	8206	531	10.9	58		7.3	0.24		4.89			
2016-01-11	6952	352	10.9	66	0	7.27	0.31	0.3	6.12	5.32	0.12	0.01
2016-01-12	10366	739	10.9	62		7.29	0.31		4.83			
2016-01-13	13152	923	10.3	62		7.13	0.94		8.78			
2016-01-14	10919	930	10.3	62		7.17	0.08		7.12			
2016-01-15	8637	500	10.3	67		7.26	0		6.23			
2016-01-16	7642	452	10.4	66		7.31	0		4.71			
2016-01-17	7291	351	10.1	65		7.34	0		5			
2016-01-18	7024	331		67								
2016-01-19	6976	418	10.1	0		7.32	0.01		6.15			
2016-01-20	6375	376	9.7	65		7.33	0		8.93			
2016-01-21	6203	297	9.5	67		7.34	0		6.72			
2016-01-22	6143	358	9.7	66		7.35	0		5.97			
2016-01-23	6907	336	9.8	67		7.36	0		5.5			
2016-01-24	10460	635	10.5	65		7.25	0		6.71			
2016-01-25	10395	642	10.4	67		7.09	0	0.02	7.75	7.26	0.06	0.02
2016-01-26	9304	418	10.5	67		7.18	0		6.26			
2016-01-27	9710	513	10.8	65		7.23	0.01		5.65			
2016-01-28	7948	446	10.4	65		6.65	0.01		4.83			
2016-01-29	10030	519	10.5	66		6.26	0		5.59			
2016-01-30	20146	1453	10.1	59		6.28	0.4		7.11			
2016-01-31	18410	1087	9.4	63		6.28	0.3		9.24			
2016-02-01	15964	883	9.7	64		6.29	0		8.47			
2016-02-02	13537	665	9.8	65		6.29	0.57		7.17			
2016-02-03	13735	892	9.8	65		6.3	0.21		7.01			
2016-02-04	11433	649	9.6	62		6.3	0.03		7			
2016-02-05	10298	546	10	67		6.3	0.15		7.03			
2016-02-06	9335	463	10.5	67		6.31	0.16		5.46			
2016-02-07	8549	431	10.5	68		6.31	0.15		4.93			
2016-02-08	16661	1006	10.3	63		6.32	0.15		7.39			
