Date	Inlet_Flow	Inlet_Flow_Maxhour	Inlet_Precipitate	COD	COD_PE	pH	NH4	NO3	PO4	Precipitation
2016-01-01	9293	443				7.58				0.2
2016-01-02	8737	423				7.62				0
2016-01-03	8650	426				7.64				0
2016-01-04	7952	371				7.64				0
2016-01-05	7581	348				7.65				0
2016-01-06	7348	342				7.64				0
2016-01-07	7375	340				7.63				2.2
2016-01-08	7737	389				7.63				1.2
2016-01-09	7293	363				7.6				0.2
2016-01-10	9072	780				7.64				3.2
2016-01-11	7142	335	12	506	24752	7.7	24.6	0.86	0.9	0.6
2016-01-12	11867	900				7.72				13.2
2016-01-13	13383	927				7.74				3.6
2016-01-14	11083	973				7.73				0
2016-01-15	8449	397				7.73				0
2016-01-16	8041	396				7.72				0.4
2016-01-17	7762	376				7.81				0
2016-01-18	7563	354				7.78				0.4
2016-01-19	7391	356				7.74				0
2016-01-20	7075	328				7.74				0
2016-01-21	6914	325				7.74				0
2016-01-22	6786	319				7.72				5
2016-01-23	7607	365				7.72				0.8
2016-01-24	11875	858				7.69				8.2
2016-01-25	10186	621		300	20929	7.73	17.3	1.41	0.81	0
2016-01-26	9205	431				7.79				2.2
2016-01-27	9998	526				7.79				0.8
2016-01-28	8307	400				7.8				0.8
2016-01-29	10465	627				7.77				11.4
2016-01-30	20660	1445				7.69				8.4
2016-01-31	17759	988				7.73				3.2
2016-02-01	15458	854				7.75				4
2016-02-02	13366	641				7.8				2.8
2016-02-03	13605	869				7.8				2.6
2016-02-04	10536	495				7.82				0
2016-02-05	10658	636				7.79				2.4
2016-02-06	9238	470				7.76				0.2
2016-02-07	8765	437				7.79				2
2016-02-08	18007	1006				7.77				12
2016-02-09	17978	1184		131	16131	7.75	12.4	1.91	0.78	9
2016-02-10	17647	1149				7.75				1.4
2016-02-11	12327	599				7.78				0
2016-02-12	10767	513				7.78				0
2016-02-13	9880	490				7.75				0
2016-02-14	8955	441				7.81				0
2016-02-15	8257	396				7.2				0
2016-02-16	7727	361				7.1				0
2016-02-17	7925	362				7.1				0
2016-02-18	7729	361				7.1				0
2016-02-19	7568	354				7.56				2.4
2016-02-20	13687	946				7.62				7.8
2016-02-21	12593	910				7.62				6.2
2016-02-22	10508	701				7.66				0
2016-02-23	8551	412				7.67				0.4
2016-02-24	7819	370		398	21315	7.65	20.4	1.04	1.62	0
2016-02-25	7521	356				7.65				0
2016-02-26	7429	383				7.65				0
2016-02-27	7147	364				7.63				0.2
2016-02-28	6988	344				7.65				0
2016-02-29	6921	320				7.66				0
2016-03-01	7179	335				7.67				3
2016-03-02	17623	968				7.6				11.6
2016-03-03	7570	352				7.65				0
2016-03-04	7214	337				7.65				0.2
2016-03-05	16373	1028				7.61				13.6
2016-03-06	12368	655		239	20246	7.62	13.4	0.71	0.73	2.4
2016-03-07	10602	587				7.66				1
2016-03-08	9579	553				7.69				0
2016-03-09	8462	471				7.73				0
