Date	SludgeVolume30_Measured	DillutionFactor	SludgeVolume30_Calculated	SS	VSS	FSVI	Plant
2016-01-07	250	2	500				Nordøst
2016-01-19	240	2	480	4.9		98	Nordøst
2016-02-02	170	2	340	3.3		103	Nordøst
2016-03-01	250	2	500	5		100	Nordøst
2016-05-10	200	2	400	4.2		95	Nordøst
2016-06-14	370	2	740	2.5		296	Nordøst
2016-08-18	130	2	260	2.77		94	Nordøst
2016-08-30	180	2	360	4.4		82	Nordøst
2016-10-04	140	2	280	4.2		67	Nordøst
2016-11-01	150	2	300	4.57			Nordøst
2016-12-22	150	2	300	5.1		59	Nordøst
2017-01-04	130	2	260	3.59		72	Nordøst
2017-01-04		1		3.59		84	Nordøst
2017-01-26	160	2	320	4.755		67	Nordøst
2017-01-26		1		4.76		107	Nordøst
2017-02-21	170	2	340	4.27		80	Nordøst
2017-02-21		1		4.27		176	Nordøst
2017-03-23	160	2	320	3.96		81	Nordøst
2017-03-28	160	2	320	3.51	0.61	91	Nordøst
2017-04-04	180	2	360	3.78	0.61	95	Nordøst
2017-04-12	230	2	460	4.34	0.71	106	Nordøst
2017-04-19	340	1	340	2.36		144	Nordøst
2017-04-21	150	2	300	2.84		106	Nordøst
2017-04-24	200	3.3	660				Nordøst
2017-04-26	220	3.3	730	4.68	0.90	156	Nordøst
2017-04-27	170	4	680	5.06		134	Nordøst
2017-04-27		1		5.06		192	Nordøst
2017-04-28	200	3.3	660	4.61	0.85	143	Nordøst
2017-05-02	220	3.3	726				Nordøst
2017-05-05	220	3.3	726	4.43		164	Nordøst
2017-05-30		1		3.7		245	Nordøst
2017-09-12	210	2	420	4.45		94	Nordøst
2017-10-03	160	2		6.0		53	Nordøst
