Dato  	 Undersøgt af  	Flokstruktur Form  Rund	Flokstruktur   Irregelær	Flokstruktur Struktur  Kompakt	Flokstruktur   Diffus	Flokstruktur Diversity  Lav	Flokstruktur   Høj	Flokstruktur Trådindex  0 - 5	Flokstruktur Flokstørrelse  mm	Flokstruktur Styrke  Fast	Flokstruktur   Svag	Bundfældningsegenskaber SV (30 min)  ml/l	Bundfældningsegenskaber FF  2, 4, 8	Bundfældningsegenskaber Aflæst  ml/l	Bundfældningsegenskaber FSV (30 min)  ml/l	Bundfældningsegenskaber TS (intern)  g/l	Bundfældningsegenskaber SS (ext)  g/l	Bundfældningsegenskaber SVI  ml/g	Bundfældningsegenskaber FSVI  ml/g	Bundfældningsegenskaber pH  	Bundfældningsegenskaber Temp. I luft-  bassin, oC	Bakterier Fritsvæv. Mikroorganismer spiriller medregnet   < 10	Bakterier Fritsvæv. Mikroorganismer spiriller medregnet  10-100	Bakterier Fritsvæv. Mikroorganismer spiriller medregnet  > 100	Bakterier Fritsvæv. Mikroorganismer Zoogloea-koloni   < 10	Bakterier Fritsvæv. Mikroorganismer Zoogloea-koloni  10-100	Bakterier Fritsvæv. Mikroorganismer Zoogloea-koloni  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Flagellater  (Bodo)   < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Flagellater  (Bodo)  10-100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Flagellater  (Bodo)  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Ciliater Fastsiddende   < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Ciliater Fastsiddende  10-100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Ciliater Fastsiddende  >100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Fritsvømmende  < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Fritsvømmende  10 - 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Fritsvømmende  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Krybende  < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Krybende  10 - 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Krybende  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Rhizopode Amøbe med/uden skal   < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Rhizopode Amøbe med/uden skal  10-100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Rhizopode Amøbe med/uden skal  > 100	Metazoer (flercellede) Rotifer (hjuldyr)   < 10	Metazoer (flercellede) Rotifer (hjuldyr)  10-100	Metazoer (flercellede) Rotifer (hjuldyr)  > 100	Metazoer (flercellede) Nematode (rundorm)   < 10	Metazoer (flercellede) Nematode (rundorm)  10-100	Metazoer (flercellede) Nematode (rundorm)  > 100	    Bemærkninger/konklusion til observationerne
2017-10-31	Udgik!																																																
2017-10-03	SK		x		x		x	1	0.11	x		410	2	160	320	6.3	6.03	68	53					x	x			x				x			x			x		x			x			0			"Bundfældningen er blev rigtig flot. SV= 410 ml/l. SVI = 68 ml/g, som er meget lavt. Der er ikke mange trådbakterier i, TI = 1 og slamflokkene ser meget ""samlet"" ud i forhold til EM. Der ses kun enkelte zoogloakolonoier (bakteriekultur med slimlag) - i forhold til mikroskoperingen i september. Der er fint med højerestående liv og flest fastsiddende ciliater."
2017-09-12	SK		x		x		x	2	0.11	x		640	2	210	420	5.4	4.45	144	94	7.5				x	x			x				x			x			x			x		x			0			"NØ-slam blev slamtransporteret ud med EM-slam i april - og nu ses der tydeligt forsket på de to anlæg. Bundfældningen er meget bedre på NØ (SV= 640 og SVI= 144 ml/g). Der er ikke mange trådbakterier i og slamflokkene ser meget ""samlet"" ud i forhold til EM. Der ses zoogloakolonoier (bakteriekultur med slimlag) - ikke mange men de er til steder. Der er fint med højerestående liv og flest fastsiddende ciliater. (Prøven blev udtaget uden beluftning, for den var lige stoppet pga elektrikkerarbejde - men der var omrøring)"
2017-05-30	SK		x		x		x	2	0.1	x		905	4	130	520	4.8	3.7	245	141					x	x				x			x			x				x		x		0			0			Nu er der gået lidt over en måned siden slammet blev byttet ud med EM-slam. Det ligner ikke helt EM-slam længere. Bundfældningen er blevet bedre (SV =  905 ml/l og SVI = 245 ml/g) Der er ikke helt så mange trådbakterier i slammet nu - men det er micortrix der er til stede (som i EM). Der er mange højerestående mikroorganismer, flest krybende. 
2017-04-27	SK		x		x		x	2.5	0.11	x		970	4	170	680	5.8	5.06	192	134					x	0				x			x			x				x	x			0			x			"Lang tid uden mikroskopering! Slammet på NØ blev den 20. april ""byttet ud"" med slam fra EM! Slammet ser meget anderledes ud - flokkene er mindre, og der er mange flere trådbakt (TI=2,5). Flokkene er ikke længere store og kompakte og bundfældningen er ikke så god som den ellers har været. SV= 970 ml/l og SVI = 192 og FSV = 134 ml/g Der er fint med højerestående liv med flest krybende ciliater."
2017-02-21	SK		x	x	x		x	1	0.11	x		750	2	170	340	5	4.27	176	80					x	0				x			x			x			x		x			x			0			Lidt ringere bundfældning end i januar, men stadig i den flotte ende. Der er også lidt flere trådbakterier, TI = 1. Det er fint store flokke, og en del er kompakte. Der er fint med højerestånde liv med flest fastsiddende ciliater.
2017-01-26	SK		x		x		x	0.5	0.11	x		510	2	160	320	4.6	4.755	107	67					x	0			x					x		x			x		x			x			0			Igen ses flot bundfældning på anlægget. SVI = 107 og FSVI = 67 ml/g. Mange pænt kompakte flokke, men vi ser også flokke med åben struktur. Trådtallet er stadig meget lavt (TI = 0,5) og der er fint med højerestående liv (flest fastsiddende ciliater)
2017-01-04	BLB/TKN	x	x	x	x		x	0.5	0.105	x		300	2	130	260	4.4	3.59	84	72		10.3				0			0				x			x		x			0			0			x			Flot bundfældning med et FSV på 260 ml/l. Trådindex vurderes til 0,5. Pæne kompakte flokke af varierende størrelse, dog til tider lidt langt imellem flokkene.
2016-12-22	SK		x	x			x	0.5	0.12	x		335	2	150	300	4.4	3.8	88	79					x	0				x			x			x			x		x			x			0			Det ser stadig meget flot ud og der er meget flokke bundfældningsegenskaber. SV = 335 ml/l og SVI = 88 ml/g (Siden 11/10 har vi trappet jerntilfæstningen ned af hensyn til bioP) Der ses en del kokformet bakterier (runde). Jeg ved ikke om phosphoromsættende bakterier har den form!? Flokkene er store, runde og kompakte. Der er meget få trådbakterier til stede, flest fastsiddende ciliater. 
2016-11-01	SK	x	x	x			x	0.5	0.12	x		470	2	150	300	4.4	3.2	147	94					x	x			x				x			x			x		0			x			x			Stadig meget flotte bundfældningsegenskaberne - som primo okt! Flokkene er pænt kompakte.  SVI = 147 ml/g og FSVI = 94 ml/g. Der er stadig nærmest ingen trådbakterier i og trådindexet er vurderet til 0,5.  Der er fint med højerestående liv, flest fastsiddende og krybende ciliater. Det ser igen ganske flot ud. (Den 11/10 begyndtes nedtrapning af jerntilsætning - som pilotanlæg)
