Date	RAS_Flow_ET1	RAS_Flow_ET2	RAS_Flow_SUM	RAS_Percent	LT2_TS	WAS_Flow	WAS_TS	WAS_Mass
2016-01-01	2028	2041	4068	36	4.17	97	1.63	1572
2016-01-02	2028	2040	4064	46	4.21	93	1.52	1415
2016-01-03	2028	2041	4066	46	4.38	85	1.46	1234
2016-01-04	2027	2039	4065	46	4.32	85	1.48	1256
2016-01-05	2029	2040	4064	53	4.61	85	1.32	1116
2016-01-06	2027	2040	4065	55	4.67	85	1.26	1064
2016-01-07	2028	2041	4065	49	4.58	85	1.34	1133
2016-01-08	2028	2040	4065	51	4.67	85	1.31	1106
2016-01-09	2027	2040	4065	54	4.74	85	1.27	1072
2016-01-10	2027	2040	4065	42	4.34	85	1.42	1203
2016-01-11	2027	2039	4064	54	4.65	85	1.5	1273
2016-01-12	2028	2072	4096	38	4.54	108	1.45	1576
2016-01-13	2067	2107	4172	29	3.54	109	1.83	1987
2016-01-14	2035	2061	4093	36	3.81	109	1.79	1943
2016-01-15	2028	2040	4066	44	4.24	109	1.78	1932
2016-01-16	2027	2040	4065	46	4.43	109	1.63	1769
2016-01-17	2029	2039	4065	53	4.49	109	1.49	1622
2016-01-18	2030	2041	4068	55	4.52	131	1.44	1892
2016-01-19	2121	1130	3250	40	4.21	132	1.47	1938
2016-01-20	2046	1591	3634	46	3.99	99	1.71	1692
2016-01-21	2028	2040	4065	61	4.53	97	1.36	1315
2016-01-22	2025	2040	4062	53	4.5	97	1.32	1278
2016-01-23	2029	2040	4065	54	4.69	97	1.23	1186
2016-01-24	2028	2041	4065	37	4.2	97	1.46	1410
2016-01-25	2028	2040	4067	36	3.72	97	1.71	1649
2016-01-26	2028	2039	4065	42	4.7	97	1.85	1787
2016-01-27	2027	2040	4064	41	4.62	108	1.85	1995
2016-01-28	2028	2040	4065	45	4.67	109	1.72	1866
2016-01-29	2027	2039	4064	39	4.54	109	1.74	1893
2016-01-30	2370	2314	4682	23	3.37	109	1.91	2075
2016-01-31	2028	2040	4066	21	2.91	109	2.06	2241
2016-02-01	2025	2076	4098	26	3.73	109	1.95	2119
2016-02-02	2028	2040	4065	28	3.77	109	1.98	2158
2016-02-03	2027	2093	4117	28	3.94	109	1.96	2129
2016-02-04	2027	2040	4064	34	3.93	113	1.89	2129
2016-02-05	2027	2040	4064	36	3.86	85	1.96	1665
2016-02-06	2028	2040	4064	42	3.76	77	1.86	1427
2016-02-07	2027	2039	4066	46	3.85	72	1.76	1272
2016-02-08	2651	2570	5218	28	3.17	72	2.1	1518
2016-02-09	2622	2422	5041	27	3.31	72	2.03	1470
2016-02-10	2545	2460	5003	26	3.32	64	2.04	1314
2016-02-11	2234	2247	4481	34	5.3	126	1.64	2061
2016-02-12	2385	2400	4782	42	6.55	115	1.8	2062
2016-02-13	2386	2400	4786	44	7.87	109	1.79	1944
2016-02-14	2383	2399	4779	52	9.54	125	1.56	1947
2016-02-15	2382	2400	4780	51	5.79	134	1.3	1750
2016-02-16	2384	2400	4782	51	4.67	115	1.38	1585
2016-02-17	2381	2400	4781	60	4.95	116	1.35	1565
2016-02-18	2383	2399	4780	57	4.85	115	1.35	1551
2016-02-19	2200	2214	4412	52	4.79	111	1.45	1611
2016-02-20	2431	2388	4818	36	4.22	105	1.68	1760
2016-02-21	2429	2357	4782	37	4.33	96	1.89	1805
2016-02-22	2264	2167	4431	41	3.9	91	1.9	1727
2016-02-23	2147	2160	4304	47	4.51	118	1.85	2190
2016-02-24	2148	2160	4306	54	4.69	121	1.67	2022
2016-02-25	2149	2160	4305	53	4.62	121	1.62	1956
2016-02-26	2147	2160	4306	59	4.74	121	1.51	1825
2016-02-27	2147	2161	4305	61	4.76	121	1.46	1757
2016-02-28	2148	2160	4306	55	4.54	140	1.45	2028
2016-02-29	2148	2159	4306	55	4.43	124	1.37	1700
2016-03-01	2147	2160	4305	59	4.6	97	1.3	1258
2016-03-02	2701	2564	5263	29	3.4	97	1.58	1529
2016-03-03	2148	2160	4306	51	4.18	97	1.65	1597
2016-03-04	2148	2159	4305	59	4.68	97	1.48	1426
2016-03-05	2612	2462	5072	31	3.79	97	1.62	1564
2016-03-06	2149	2159	4307	33	3.31	97	1.8	1737
2016-03-07	2193	2160	4350	39	4.26	116	1.82	2120
2016-03-08	2156	2160	4314	41	4.43	120	1.84	2216
2016-03-09	1963	1977	3937	46	4.32	116	1.94	2247
2016-03-10	1906	1921	3823	50	4.46	120	1.81	2182
